Codigo especie,familia,Species,Name,Synonim,UICN,Endemismo,Migracion
UTPL_A0177,Accipitridae,Circus cinereus,Cinereous Harrier,null,null,null,null
UTPL_A0178,Troglodytidae,Cistothorus platensis,Sedge Wren,null,LC,null,null
UTPL_A0180,Columbidae,Claravis pretiosa,Blue Ground-Dove,null,LC,null,null
UTPL_A0181,Furnariidae,Clibanornis rubiginosus,Ruddy Foliage-gleaner,null,null,null,null
UTPL_A0182,Tyrannidae,Cnipodectes subbrunneus,Brownish Twistwing,null,LC,null,null
UTPL_A0183,Cuculidae,Coccycua minuta,Little Cuckoo,Piaya minuta,LC,null,null
UTPL_A0184,Cuculidae,Coccyzus erythropthalmus,Black-billed Cuckoo,null,LC,null,MB
UTPL_A0185,Cuculidae,Coccyzus lansbergi,Gray-capped Cuckoo,null,LC,null,null
UTPL_A0186,Trochilidae,Coeligena coeligena,,null,LC,null,null
UTPL_A0187,Trochilidae,Coeligena iris,Rainbow Starfrontlet,null,LC,S-SO,null
UTPL_A0189,Trochilidae,Coeligena torquata,Collared Inca,null,LC,null,null
UTPL_A0190,Thraupidae,Coereba flaveola,Bananaquit,null,LC,null,null
UTPL_A0191,Picidae,Colaptes rubiginosus,Golden-olive Woodpecker,Piculus rubiginosus,LC,null,null
UTPL_A0192,Picidae,Colaptes rupicola,Andean Flicker,null,LC,null,null
UTPL_A0193,Trochilidae,Colibri coruscans,Sparkling Violetear,null,LC,null,null
UTPL_A0194,Trochilidae,Colibri delphinae,Brown Violetear,null,LC,null,null
UTPL_A0196,Columbidae,Columba livia,Rock Pigeon,null,null,null,null
UTPL_A0197,Columbidae,Columbina buckleyi,Ecuadorian Ground-Dove,null,LC,BT,null
UTPL_A0198,Columbidae,Columbina cruziana,Croaking Ground-Dove,null,LC,null,null
