id,Codigo Especie,Familia,especie,nombre,sinonimo,uicn,endemismo,migracion
11909,UTPL_A0448,62,Muscigralla brevicauda,Short-tailed Field-Tyrant,null,1,null,null
11910,UTPL_A0385,61,Lepidocolaptes souleyetii,Streak-headed Woodcreeper,null,1,null,null
11911,UTPL_A0618,70,Polioptila plumbea,Tropical Gnatcatcher,null,1,null,null
11912,UTPL_A0134,35,Cathartes aura,Turkey Vulture,null,1,null,MB - C 
11913,UTPL_A0652,62,Pyrocephalus rubinus,Vermilion Flycatcher,null,1,null,MA - C
11914,UTPL_A0364,78,Icterus graceannae,White-edged Oriole,null,1,BT,null
11915,UTPL_A0198,41,Columbina cruziana,Croaking Ground-Dove,null,1,null,null
11916,UTPL_A0850,41,Zenaida auriculata,Eared Dove,null,1,null,null
11917,UTPL_A0122,69,Campylorhynchus fasciatus,Fasciated Wren,Campylorhynchus fasciatus,1,BT,null
11918,UTPL_A0530,37,Parabuteo unicinctus,Harris’ Hawk,null,1,null,null
11919,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11920,UTPL_A0210,35,Coragyps atratus,Black Vulture,null,1,null,null
11921,UTPL_A0776,57,Thamnophilus bernardi,Collared Antshrike,Sakesporus bernardi,null,BT,null
11922,UTPL_A0128,55,Caracara cheriway,Crested Caracara,null,1,null,null
11923,UTPL_A0227,67,Cyanocorax mystacalis,White-tailed Jay,null,1,BT,null
11924,UTPL_A0016,48,Amazilia amazilia,Amazilia Hummingbird,null,1,null,null
11925,UTPL_A0460,62,Myiodynastes bairdii,Baird’s Flycatcher,null,1,BT,null
11926,UTPL_A0190,73,Coereba flaveola,Bananaquit,null,1,null,null
11927,UTPL_A0051,75,Arremon abeillei,Black-capped Sparrow,null,1,BT - RM,null
11928,UTPL_A0210,35,Coragyps atratus,Black Vulture,null,1,null,null
11929,UTPL_A0466,62,Myiophobus fasciatus,Bran-colored Flycatcher,null,1,null,null
11930,UTPL_A0786,73,Thraupis episcopus,Blue-gray Tanager,null,1,null,null
11931,UTPL_A0776,57,Thamnophilus bernardi,Collared Antshrike,Sakesporus bernardi,null,BT,null
11932,UTPL_A0798,62,Todirostrum cinereum,Common Tody-Flycatcher,null,1,null,null
11933,UTPL_A0198,41,Columbina cruziana,Croaking Ground-Dove,null,1,null,null
11934,UTPL_A0850,41,Zenaida auriculata,Eared Dove,null,1,null,null
11935,UTPL_A0122,69,Campylorhynchus fasciatus,Fasciated Wren,Campylorhynchus fasciatus,1,BT,null
11936,UTPL_A0568,76,Pheucticus chrysogaster,Golden-bellied Grosbeak,null,1,null,null
11937,UTPL_A0191,54,Colaptes rubiginosus,Golden-olive Woodpecker,Piculus rubiginosus,1,null,null
11938,UTPL_A0217,42,Crotophaga sulcirostris,Groove-billed Ani,null,1,null,null
11939,UTPL_A0047,34,Ardea alba,Great Egret,null,1,null,MB - C ?
11940,UTPL_A0158,50,Chloroceryle americana,Green Kingfisher,null,1,null,null
11941,UTPL_A0530,37,Parabuteo unicinctus,Harris’ Hawk,null,1,null,null
11942,UTPL_A0341,48,Heliomaster longirostris,Long-billed Starthroat,null,1,null,null
11943,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11944,UTPL_A0223,29,Crypturellus transfasciatus,Pale-browed Tinamou,null,3,BT,null
11945,UTPL_A0292,56,Forpus coelestis,Pacific Parrotlet,null,1,BT,null
11946,UTPL_A0296,61,Furnarius leucopus,Pale-legged Hornero,null,1,null,null
11947,UTPL_A0424,43,Megascops roboratus,Peruvian Screech-Owl,Otus roboratus,1,BT,null
11948,UTPL_A0317,43,Glaucidium peruanum,Peruvian Pygmy-Owl,null,1,BT,null
11949,UTPL_A0640,56,Psittacara erythrogenys,Red-masked Parakeet,null,3,BT,null
11950,UTPL_A0729,78,Sturnella bellicosa,Peruvian Meadowlark,null,1,null,null
11951,UTPL_A0419,50,Megaceryle torquata,Ringed Kingfisher,null,1,null,null
11952,UTPL_A0700,73,Sicalis flaveola,Saffron Finch,null,1,null,null
11953,UTPL_A0097,37,Buteogallus meridionalis,Savanna Hawk,null,1,null,null
11954,UTPL_A0835,54,Veniliornis callonotus,Scarlet-backed Woodpecker,null,1,BT,null
11955,UTPL_A0252,78,Dives warszewiczi,Scrub Blackbird,null,1,null,null
11956,UTPL_A0259,34,Egretta thula,Snowy Egret,null,1,null,null
11957,UTPL_A0119,62,Camptostoma obsoletum,Southern Beardless-Tyrannulet,null,1,null,null
11958,UTPL_A0453,62,Myiarchus phaeocephalus,Sooty-crowned Flycatcher,null,1,BT - RM,null
11959,UTPL_A0448,62,Muscigralla brevicauda,Short-tailed Field-Tyrant,null,1,null,null
11960,UTPL_A0385,61,Lepidocolaptes souleyetii,Streak-headed Woodcreeper,null,1,null,null
11961,UTPL_A0102,34,Butorides striata,Striated Heron,null,1,null,null
11962,UTPL_A0680,74,Saltator striatipectus,Streaked Saltator,null,1,null,null
11963,UTPL_A0125,69,Cantorchilus superciliaris,Superciliated Wren,Tryothorus superciliaris,null,BT,null
11964,UTPL_A0281,62,Euscarthmus meloryphus,Tawny-crowned Pygmy-Tyrant,null,1,null,null
11965,UTPL_A0276,79,Euphonia laniirostris,Thick-billed Euphonia,null,1,null,null
11966,UTPL_A0618,70,Polioptila plumbea,Tropical Gnatcatcher,null,1,null,null
11967,UTPL_A0396,48,Leucippus baeri,Tumbes Hummingbird,null,1,BT,null
11968,UTPL_A0652,62,Pyrocephalus rubinus,Vermilion Flycatcher,null,1,null,MA - C
11969,UTPL_A0327,59,Grallaria watkinsi,Watkins’ Antpitta,null,3,S-SO,null
11970,UTPL_A0452,32,Mycteria americana,Wood Stork,null,1,null,null
11971,UTPL_A0851,41,Zenaida meloda,West Peruvian Dove,null,1,null,null
11972,UTPL_A0364,78,Icterus graceannae,White-edged Oriole,null,1,BT,null
11973,UTPL_A0394,41,Leptotila verreauxi,White-tipped Dove,null,1,null,null
11974,UTPL_A0217,42,Crotophaga sulcirostris,Groove-billed Ani,null,1,null,null
11975,UTPL_A0102,34,Butorides striata,Striated Heron,null,1,null,null
